image_key,rating,std,prompt
craiyon/p01,2.6,1.190238071423808,p01
craiyon/p02,2.96,1.1357816691600546,p02
craiyon/p03,2.56,1.2274635093014645,p03
craiyon/p04,2.84,1.312757911167681,p04
craiyon/p05,1.88,1.0535653752852738,p05
craiyon/p06,2.24,1.267543556122103,p06
craiyon/p07,1.6923076923076923,1.1231822922119372,p07
craiyon/p08,2.16,0.8504900548115384,p08
craiyon/p09,3.52,1.2288205727444508,p09
craiyon/p10,1.72,1.0614455552060438,p10
craiyon/p11,1.72,1.1372481406154655,p11
craiyon/p12,2.48,1.1224972160321824,p12
craiyon/p13,2.32,1.1445523142259597,p13
craiyon/p14,1.96,1.3063945294843615,p14
craiyon/p15,2.8,1.1902380714238086,p15
craiyon/p16,3.16,1.374772708486752,p16
craiyon/p17,2.36,1.1503622617824931,p17
craiyon/p18,2.04,1.05987420637231,p18
craiyon/p19,2.24,1.2342339054382414,p19
craiyon/p20,3.52,1.2622730819174326,p20
craiyon/p21,2.28,1.0999999999999999,p21
craiyon/p22,2.6,1.3228756555322951,p22
craiyon/p23,2.84,0.9433981132056605,p23
craiyon/p24,2.6,1.190238071423808,p24
craiyon/p25,2.32,1.2489995996796799,p25
craiyon/p26,1.88,1.2355835328567093,p26
craiyon/p27,1.96,1.1357816691600546,p27
dall-e/p01,2.52,1.2948616399703357,p01
dall-e/p02,3.84,1.1430952132988166,p02
dall-e/p03,3.76,0.9255628917943215,p03
dall-e/p04,3.12,1.3012814197295424,p04
dall-e/p05,2.72,1.208304597359457,p05
dall-e/p06,2.84,1.2476644848141933,p06
dall-e/p07,2.08,1.1874342087037917,p07
dall-e/p08,2.84,1.1430952132988164,p08
dall-e/p09,3.72,1.2423096769056148,p09
dall-e/p10,2.04,1.1357816691600546,p10
dall-e/p11,2.24,1.3316656236958786,p11
dall-e/p12,3.08,1.187434208703792,p12
dall-e/p13,2.88,1.1661903789690602,p13
dall-e/p14,2.24,1.267543556122103,p14
dall-e/p15,3.96,1.019803902718557,p15
dall-e/p16,3.72,1.1,p16
dall-e/p17,2.52,1.0456258094238748,p17
dall-e/p18,2.2,1.224744871391589,p18
dall-e/p19,2.72,1.2754084313139327,p19
dall-e/p20,3.2,1.118033988749895,p20
dall-e/p21,2.84,1.1430952132988166,p21
dall-e/p22,3.16,1.067707825203131,p22
dall-e/p23,3.76,1.011599393699568,p23
dall-e/p24,3.48,1.2288205727444508,p24
dall-e/p25,2.72,1.1372481406154653,p25
dall-e/p26,3.0,1.1902380714238083,p26
dall-e/p27,2.04,1.3063945294843615,p27
glide/p01,2.28,1.2423096769056148,p01
glide/p02,3.2,1.0408329997330665,p02
glide/p03,2.16,1.1789826122551597,p03
