image_key,rating,std,prompt
craiyon/p01,2.28,0.9797958971132712,p01
craiyon/p02,2.6,0.8164965809277259,p02
craiyon/p03,2.24,0.8306623862918074,p03
craiyon/p04,2.44,1.121011448053349,p04
craiyon/p05,1.88,0.8812869377601524,p05
craiyon/p06,1.48,0.9183318209303941,p06
craiyon/p07,2.1923076923076925,1.233506571339797,p07
craiyon/p08,2.76,1.2342339054382412,p08
craiyon/p09,3.12,1.0132456102380443,p09
craiyon/p10,1.92,1.0376254944182253,p10
craiyon/p11,1.44,0.8698658900466593,p11
craiyon/p12,2.4,1.0,p12
craiyon/p13,2.32,1.1803954139750517,p13
craiyon/p14,1.72,1.0614455552060438,p14
craiyon/p15,2.28,1.1372481406154653,p15
craiyon/p16,3.28,1.1,p16
craiyon/p17,2.24,1.3,p17
craiyon/p18,1.8,0.8660254037844387,p18
craiyon/p19,2.76,0.969535971483266,p19
craiyon/p20,3.6,1.0801234497346435,p20
craiyon/p21,2.4,1.2583057392117916,p21
craiyon/p22,1.72,0.8906926143924925,p22
craiyon/p23,2.76,0.9695359714832658,p23
craiyon/p24,2.84,1.2806248474865696,p24
craiyon/p25,1.88,0.8326663997864531,p25
craiyon/p26,1.48,0.714142842854285,p26
craiyon/p27,1.92,1.077032961426901,p27
dall-e/p01,2.84,1.2476644848141933,p01
dall-e/p02,4.16,0.9865765724632496,p02
dall-e/p03,3.52,1.2288205727444508,p03
dall-e/p04,3.24,1.0519822558706333,p04
dall-e/p05,2.84,1.0279429296739515,p05
dall-e/p06,2.52,1.1224972160321822,p06
dall-e/p07,3.0,1.0408329997330665,p07
dall-e/p08,3.72,1.1,p08
dall-e/p09,3.64,1.0360180178613367,p09
dall-e/p10,3.4,0.957427107756338,p10
dall-e/p11,3.48,1.2622730819174326,p11
dall-e/p12,2.6,1.118033988749895,p12
dall-e/p13,3.32,0.9451631252505215,p13
dall-e/p14,2.52,1.1590225767142475,p14
dall-e/p15,3.4,0.9574271077563381,p15
dall-e/p16,3.96,0.7348469228349535,p16
dall-e/p17,3.52,1.2622730819174326,p17
dall-e/p18,2.76,1.2,p18
dall-e/p19,3.32,1.0692676621563626,p19
dall-e/p20,3.4,1.118033988749895,p20
dall-e/p21,3.2,1.190238071423808,p21
dall-e/p22,3.2,0.912870929175277,p22
dall-e/p23,4.28,0.8426149773176358,p23
dall-e/p24,3.72,1.173314393786536,p24
dall-e/p25,2.4,1.0801234497346435,p25
dall-e/p26,3.4,1.0408329997330665,p26
dall-e/p27,2.24,1.2000000000000002,p27
glide/p01,1.92,0.9092121131323904,p01
glide/p02,2.88,0.971253485622231,p02
glide/p03,1.6,0.8164965809277259,p03
glide/p04,2.24,1.2,p04
glide/p05,2.076923076923077,1.1286479317511524,p05
glide/p06,1.36,0.8602325267042625,p06
glide/p07,2.28,1.1372481406154655,p07
glide/p08,2.36,1.1503622617824931,p08
glide/p09,1.72,0.8426149773176358,p09
glide/p10,2.0,1.1547005383792515,p10
glide/p11,1.5,0.9325048082403138,p11
glide/p12,1.64,0.9949874371066201,p12
glide/p13,1.96,1.171893055416463,p13
glide/p14,2.2,1.0,p14
glide/p15,1.56,0.7681145747868608,p15
glide/p16,3.0,1.0801234497346435,p16
glide/p17,1.68,1.0295630140987002,p17
glide/p18,1.52,0.714142842854285,p18
glide/p19,1.84,0.9865765724632496,p19
glide/p20,1.56,0.6506407098647711,p20
glide/p21,1.76,1.0115993936995678,p21
glide/p22,1.84,1.1789826122551597,p22
glide/p23,1.96,0.8888194417315589,p23
glide/p24,2.08,1.255653880122491,p24
glide/p25,1.8,0.9128709291752769,p25
glide/p26,1.44,0.9165151389911679,p26
glide/p27,1.28,0.6782329983125267,p27
midjourney/p01,3.6,1.0408329997330665,p01
midjourney/p02,2.56,1.003327796219494,p02
midjourney/p03,3.08,1.1518101695447331,p03
midjourney/p04,3.4,1.118033988749895,p04
midjourney/p05,3.28,1.021436896402971,p05
midjourney/p06,2.84,1.1789826122551597,p06
midjourney/p07,3.84,1.0279429296739517,p07
midjourney/p08,3.2,1.1902380714238083,p08
midjourney/p09,2.7916666666666665,1.1025333147551268,p09
midjourney/p10,3.52,0.9626352718795768,p10
midjourney/p11,3.4,1.2583057392117916,p11
midjourney/p12,3.72,1.0214368964029708,p12
midjourney/p13,3.0,1.0801234497346435,p13
midjourney/p14,2.64,1.4685593847940461,p14
midjourney/p15,3.6,1.190238071423808,p15
midjourney/p16,4.2,0.8164965809277257,p16
midjourney/p17,3.4,1.0408329997330663,p17
midjourney/p18,3.0,1.1902380714238083,p18
midjourney/p19,2.68,1.1803954139750517,p19
midjourney/p20,3.6,0.9999999999999999,p20
midjourney/p21,2.88,1.332916601542147,p21
midjourney/p22,4.04,1.0198039027185568,p22
midjourney/p23,3.64,1.2206555615733703,p23
midjourney/p24,4.0,0.957427107756338,p24
